일자,현재지수,대비,등락률(%),배당수익률(%),주가이익비율,주가자산비율,시가지수,고가지수,저가지수,거래량(천주),거래대금(백만원),상장시가총액(백만원)
2019/02/25,"2,232.56",2.06,0.09,1.74,10.56,0.96,"2,241.13","2,241.76","2,224.64","339,234","4,689,861","1,473,911,027"
2019/02/26,"2,226.60",-5.96,-0.27,1.75,10.53,0.95,"2,230.37","2,235.70","2,221.76","331,962","5,024,238","1,469,933,630"
2019/02/27,"2,234.79",8.19,0.37,1.74,10.57,0.96,"2,234.46","2,237.77","2,228.16","301,513","4,914,613","1,475,176,574"
2019/02/28,"2,195.44",-39.35,-1.76,1.77,10.38,0.94,"2,231.58","2,233.93","2,195.44","510,022","8,307,296","1,448,767,024"
2019/03/04,"2,190.66",-4.78,-0.22,1.78,10.36,0.94,"2,210.97","2,216.02","2,188.56","373,166","6,405,237","1,445,642,000"
2019/03/05,"2,179.23",-11.43,-0.52,1.79,10.31,0.93,"2,183.35","2,185.74","2,171.33","313,146","4,980,941","1,437,785,626"
2019/03/06,"2,175.60",-3.63,-0.17,1.79,10.29,0.93,"2,177.11","2,179.01","2,168.46","328,943","4,828,088","1,435,423,977"
2019/03/07,"2,165.79",-9.81,-0.45,1.80,10.25,0.93,"2,173.19","2,181.19","2,155.19","292,578","4,858,919","1,429,496,102"
2019/03/08,"2,137.44",-28.35,-1.31,1.82,10.11,0.92,"2,152.80","2,159.67","2,137.44","313,315","4,497,331","1,410,568,350"
2019/03/11,"2,138.10",0.66,0.03,1.82,10.11,0.92,"2,140.29","2,145.31","2,125.54","272,103","4,077,476","1,410,561,695"
2019/03/12,"2,157.18",19.08,0.89,1.80,10.21,0.92,"2,154.61","2,161.69","2,150.96","355,283","4,222,805","1,424,679,601"
2019/03/13,"2,148.41",-8.77,-0.41,1.81,10.16,0.92,"2,152.66","2,154.11","2,134.16","285,601","4,088,451","1,419,083,070"
2019/03/14,"2,155.68",7.27,0.34,1.81,10.20,0.92,"2,154.35","2,158.34","2,142.31","341,010","5,882,524","1,423,787,458"
2019/03/15,"2,176.11",20.43,0.95,1.79,10.30,0.93,"2,152.96","2,181.77","2,152.59","387,136","6,821,324","1,437,037,921"
2019/03/18,"2,179.49",3.38,0.16,1.79,10.31,0.93,"2,179.69","2,183.90","2,172.34","257,951","4,093,226","1,439,426,928"
2019/03/19,"2,177.62",-1.87,-0.09,1.79,10.30,0.93,"2,183.03","2,183.76","2,171.05","319,703","3,867,859","1,438,506,503"
2019/03/20,"2,177.10",-0.52,-0.02,1.79,10.30,0.93,"2,171.41","2,177.19","2,152.21","317,607","4,175,741","1,438,253,703"
2019/03/21,"2,184.88",7.78,0.36,1.78,10.34,0.94,"2,183.11","2,200.32","2,173.70","342,747","6,229,925","1,445,055,041"
2019/03/22,"2,186.95",2.07,0.09,1.78,10.34,0.94,"2,192.72","2,195.42","2,178.77","333,618","6,881,723","1,446,842,700"
2019/03/25,"2,144.86",-42.09,-1.92,1.81,10.15,0.92,"2,158.80","2,159.25","2,143.70","307,071","4,136,472","1,418,438,627"
2019/03/26,"2,148.80",3.94,0.18,1.81,10.17,0.92,"2,152.98","2,153.90","2,143.63","301,254","4,248,900","1,421,123,429"
